fsym_id	ticker
B1ZMJV-R	BSMNX-US
B1ZWDG-R	FIAC-US
B1ZXBC-R	CTV.WT-US
B201LH-R	FFBTX-US
B20B0N-R	FSIOX-US
B20B3R-R	CFFEW-US
B20BD0-R	PFVIX-US
B20VY1-R	JIVUX-US
B21HN4-R	ALTG-US
B21J5N-R	NHNCF-US
B21JK0-R	SLVM-US
B21P3F-R	CCIEX-US
B21YHK-R	WORK-US
B22187-R	MBB.IV-US
B222B8-R	EWS.IV-US
B222GD-R	BLUE86-US
B224GB-R	FZV.NV-US
B22K7Q-R	INKM.IV-US
B22QLX-R	SDMZX-US
B22QV4-R	TRAQ.UT-US
B22TRZ-R	JBSRX-US
B22WX1-R	VLCGX-US
B230MN-R	TVE.R-CA
B23HK3-R	FINQ-US
B23KP5-R	CNSTX-US
B241MN-R	KRTX-US
B245C8-R	FRFNX-US
B247HB-R	NWEGX-US
B24MR6-R	SIKAN-MX
B24P5L-R	TRFCX-US
B24WV1-R	PROS50-US
B253CC-R	GASCOINV-CL
B25465-R	BBTBX-US
B25FSG-R	ADVMX-US
B25X18-R	CLOU-US
B25XY4-R	ALCH20-US
B26312-R	RSQVX-US
B26422-R	ALNYX-US
B26P3L-R	RSEKX-US
B273Z0-R	SPBO.NV-US
B2880Z-R	GKSGF-US
B28HG5-R	DB-CA
B28JJ6-R	GBRCF-US
B28L8X-R	ADGRF-US
B28MQ9-R	MGRC-US
B28PVC-R	BUHF-US
B28RZF-R	USGA-US
B28T1G-R	NWST-CA
B28V3H-R	WSPS-US
B28V7M-R	BXRDF-US
B28W5J-R	CREAF-US
B28XCP-R	OXFC-US
B292KQ-R	VABB-US
B297WW-R	VEINX-US
B298YX-R	RDFY-US
B29F71-R	FCTWX-US
B29G92-R	DRLVX-US
B29HXN-R	FUM-CA
B29KH5-R	FMDIX-US
B29MM7-R	GK.XX3-US
B29NTD-R	TWO-US
B29PR9-R	KNBWY-US
B29PWF-R	GXSTX-US
B29QTB-R	OPCO-US
B29TGX-R	PATAQ-US
B29X4H-R	ABCD-US
B29Y6J-R	PFGBX-US
B29Z8K-R	IYK-CL
B2B1DM-R	TMVAX-US
B2B1JR-R	TKFHY-US
B2B2LS-R	SCO-US
B2B3NT-R	SHANY-US
B2BBZX-R	DMTGF-US
B2BKD3-R	TRYRF-US
B2BZ5H-R	CBHC-US
B2C2MV-R	TPIF-US
B2C7TW-R	GAGVX-US
B2C8CD-R	EMOCX-US
B2CH4Z-R	BSSMF-US
B2CLXM-R	LOPLX-US
B2CRP7-R	TRAN-AR
B2CY0D-R	HLTH-CA
B2D2DN-R	PAULX-US
B2D4Y3-R	KSI-CA
B2D9VW-R	GWYI-US
B2DCHG-R	LBC-US
B2DK5Z-R	MELEF-US
B2DMG5-R	PCLPX-US
B2DPL7-R	TEMLX-US
B2DSN6-R	BSGAX-US
B2DTQ7-R	CHCR-US
B2DWV9-R	CNBA-US
B2DYZC-R	OUTD-US
B2F01D-R	CGTCX-US
B2F25G-R	ADY-US
B2F5CK-R	HMCBF-US
B2F7HM-R	OMCM-US
B2F8KN-R	SUI-US
B2F8PS-R	ALM-CA
B2F902-R	BUFB-US
B2FCRR-R	FRBK-US
B2FJ50-R	SGLY-US
B2FM6Z-R	PCHZF-US
B2FM80-R	EQNRX-US
B2FN90-R	CEKFF-US
B2FPC1-R	ANEFX-US
B2FPRF-R	HBC4702764-US
B2FRH3-R	ERC-US
B2FSP8-R	ZB.PRC-US
B2FTM5-R	DELRF-US
B2FTR9-R	SAUC-US
B2FWWC-R	SDBT-US
B2FXT8-R	TTOPX.XX1-US
B2FYHY-R	RODE-US
B2G10C-R	SKY-US
B2G22D-R	IDEA-US
B2G46G-R	PRGSX-US
B2G7PV-R	MDXH-US
B2G826-R	PE-US
B2G8GL-R	EGD.H-CA
B2G9JM-R	NPM-US
B2GBLN-R	NCPBX-US
B2GCNP-R	OEC.H-CA
B2GDQQ-R	WSLWY-US
B2GFSR-R	BOWFF-US
B2GFXW-R	FOSUY-US
B2GHXT-R	BCYIF-US
B2GJZV-R	FURCF-US
B2GZV8-R	LVISF-US
B2H2JW-R	LGCYX-US
B2HJWS-R	QUARX-US
B2HLJC-R	GRNB-US
B2HM0V-R	RYWJX-US
B2HM4Z-R	EMYSF-US
B2HN70-R	RNG-CA
B2HQC2-R	PIPFX-US
B2HR8Z-R	YUXXF-US
B2HRTH-R	EBC.UT-CA
B2HSC0-R	HLSHP-US
B2HSXK-R	CACSX-US
B2HTF1-R	ATRC-US
B2HZCV-R	OQAL-US
B2J0YC-R	MMJYX-US
B2J17N-R	TYDE-US
B2J2JX-R	FTLS-US
B2J7X3-R	FSB-CA
B2J8Z4-R	KRYS-US
